2015-10-13 11:18:36 - PHP Notice:  Undefined variable: entry_export in D:\xampp\htdocs\Opencart\tt_optician\admin\view\template\tool\backup.tpl on line 43
2015-10-17 5:29:29 - PHP Notice:  Undefined variable: entry_export in D:\xampp\htdocs\Opencart\tt_optician\admin\view\template\tool\backup.tpl on line 43
2015-10-19 8:58:53 - PHP Notice:  Undefined variable: entry_export in D:\xampp\htdocs\Opencart\tt_optician\admin\view\template\tool\backup.tpl on line 43
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('25', 'catalog/category-image.png', '0', '1', '1', '4', '1', '2009-01-31 01:04:25', '2015-10-01 13:46:57', 'catalog/accessories.png') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('27', '', '20', '0', '0', '2', '1', '2009-01-31 01:55:34', '2015-10-01 14:25:02', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('20', 'catalog/category-image.png', '0', '1', '1', '2', '1', '2009-01-05 21:49:43', '2015-10-01 13:47:58', 'catalog/smartphone.png') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('24', 'catalog/category-image.png', '0', '1', '1', '3', '1', '2009-01-20 02:36:26', '2015-10-01 13:47:47', 'catalog/desktop.png') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('18', 'catalog/category-image.png', '0', '1', '0', '1', '1', '2009-01-05 21:49:15', '2015-10-01 13:48:02', 'catalog/tablet.png') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('17', 'catalog/category-image.png', '0', '1', '1', '0', '1', '2009-01-03 21:08:57', '2015-10-01 13:47:54', 'catalog/laptop.png') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('26', '', '20', '0', '0', '1', '1', '2009-01-31 01:55:14', '2015-10-01 14:25:18', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('29', '', '25', '0', '0', '1', '1', '2009-02-02 13:11:37', '2015-10-01 14:19:26', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
